airline_sentiment,negativereason,sex,age
positive,Well service is ok,female,11
neutral,Well service is ok,male,10
neutral,Well service is ok,female,28
neutral,Well service is ok,male,21
positive,Well service is ok,female,24
negative,Bad Flight,male,13
neutral,Well service is ok,female,21
neutral,Well service is ok,female,15
negative,Bad Flight,male,2
negative,Customer Service Issue,male,25
positive,Well service is ok,female,17
negative,Can't Tell,male,5
negative,Customer Service Issue,female,25
neutral,Well service is ok,female,9
neutral,Well service is ok,male,2
positive,Well service is ok,male,15
neutral,Well service is ok,female,7
neutral,Well service is ok,female,18
positive,Well service is ok,female,16
positive,Well service is ok,male,22
negative,Bad Flight,male,3
neutral,Well service is ok,male,21
positive,Well service is ok,male,6
positive,Well service is ok,male,9
neutral,Well service is ok,female,13
neutral,Well service is ok,female,10
negative,Lost Luggage,male,1
positive,Well service is ok,female,6
negative,Customer Service Issue,male,26
neutral,Well service is ok,male,13
neutral,Well service is ok,male,16
neutral,Well service is ok,female,6
neutral,Well service is ok,female,17
negative,Can't Tell,male,24
negative,Flight Attendant Complaints,male,2
negative,Bad Flight,male,28
neutral,Well service is ok,male,12
neutral,Well service is ok,female,21
negative,Flight Booking Problems,female,13
positive,Well service is ok,male,21
neutral,Well service is ok,male,20
neutral,Well service is ok,female,23
neutral,Well service is ok,male,17
neutral,Well service is ok,male,6
negative,Customer Service Issue,female,22
neutral,Well service is ok,male,3
neutral,Well service is ok,female,11
negative,Customer Service Issue,male,11
neutral,Well service is ok,male,24
positive,Well service is ok,female,4
negative,Lost Luggage,male,30
negative,Flight Booking Problems,female,8
positive,Well service is ok,male,30
positive,Well service is ok,female,1
positive,Well service is ok,female,27
neutral,Well service is ok,male,20
neutral,Well service is ok,female,6
positive,Well service is ok,female,20
neutral,Well service is ok,male,20
positive,Well service is ok,female,25
negative,Can't Tell,female,24
neutral,Well service is ok,female,18
negative,Flight Booking Problems,female,17
negative,Customer Service Issue,male,16
neutral,Well service is ok,male,19
neutral,Well service is ok,male,12
negative,Customer Service Issue,male,7
negative,Flight Booking Problems,male,17
neutral,Well service is ok,female,15
positive,Well service is ok,female,27
positive,Well service is ok,male,12
neutral,Well service is ok,male,20
neutral,Well service is ok,female,2
neutral,Well service is ok,female,14
neutral,Well service is ok,male,18
negative,Lost Luggage,female,7
neutral,Well service is ok,male,8
positive,Well service is ok,female,21
positive,Well service is ok,male,8
positive,Well service is ok,male,9
negative,Flight Booking Problems,male,27
negative,Flight Booking Problems,female,23
neutral,Well service is ok,female,8
neutral,Well service is ok,female,25
negative,Customer Service Issue,male,23
neutral,Well service is ok,female,2
neutral,Well service is ok,male,22
positive,Well service is ok,female,29
positive,Well service is ok,male,28
neutral,Well service is ok,male,3
negative,Customer Service Issue,male,26
negative,Late Flight,female,16
negative,Customer Service Issue,female,17
positive,Well service is ok,female,1
negative,Can't Tell,male,24
negative,Flight Booking Problems,male,16
negative,Bad Flight,female,11
negative,longlines,female,16
neutral,Well service is ok,male,26
negative,Customer Service Issue,male,17
negative,Flight Booking Problems,male,10
negative,Flight Booking Problems,female,14
neutral,Well service is ok,male,11
neutral,Well service is ok,male,18
positive,Well service is ok,female,18
positive,Well service is ok,male,12
neutral,Well service is ok,female,8
neutral,Well service is ok,male,13
positive,Well service is ok,male,2
positive,Well service is ok,male,22
neutral,Well service is ok,male,15
neutral,Well service is ok,female,8
negative,Can't Tell,male,16
negative,Bad Flight,male,28
negative,Bad Flight,male,28
positive,Well service is ok,female,20
negative,Customer Service Issue,female,27
negative,Late Flight,female,28
negative,Customer Service Issue,female,1
neutral,Well service is ok,female,13
positive,Well service is ok,male,9
positive,Well service is ok,male,24
negative,Can't Tell,male,13
neutral,Well service is ok,male,19
positive,Well service is ok,male,27
positive,Well service is ok,male,1
neutral,Well service is ok,male,18
positive,Well service is ok,male,17
neutral,Well service is ok,male,13
negative,Customer Service Issue,female,21
positive,Well service is ok,female,28
positive,Well service is ok,male,21
neutral,Well service is ok,female,21
neutral,Well service is ok,male,18
neutral,Well service is ok,female,10
neutral,Well service is ok,male,15
neutral,Well service is ok,female,20
positive,Well service is ok,female,9
positive,Well service is ok,male,25
neutral,Well service is ok,male,17
negative,Flight Booking Problems,female,26
positive,Well service is ok,female,26
negative,Customer Service Issue,male,26
positive,Well service is ok,male,23
negative,Bad Flight,male,28
negative,Bad Flight,male,19
neutral,Well service is ok,male,22
positive,Well service is ok,male,6
neutral,Well service is ok,male,30
neutral,Well service is ok,male,18
positive,Well service is ok,male,11
neutral,Well service is ok,female,13
positive,Well service is ok,female,25
negative,Customer Service Issue,male,10
negative,Customer Service Issue,male,19
negative,Customer Service Issue,female,22
neutral,Well service is ok,male,19
negative,Can't Tell,female,17
positive,Well service is ok,male,9
neutral,Well service is ok,male,4
neutral,Well service is ok,male,11
positive,Well service is ok,female,5
positive,Well service is ok,male,24
negative,Can't Tell,female,6
negative,Customer Service Issue,male,21
negative,longlines,female,6
neutral,Well service is ok,female,23
positive,Well service is ok,female,4
positive,Well service is ok,female,6
neutral,Well service is ok,male,25
neutral,Well service is ok,male,28
negative,Flight Booking Problems,male,15
neutral,Well service is ok,female,30
positive,Well service is ok,female,8
neutral,Well service is ok,male,7
positive,Well service is ok,male,26
positive,Well service is ok,female,14
neutral,Well service is ok,female,25
neutral,Well service is ok,female,23
negative,Bad Flight,female,15
negative,Bad Flight,male,7
neutral,Well service is ok,male,29
positive,Well service is ok,male,1
positive,Well service is ok,female,30
neutral,Well service is ok,male,2
positive,Well service is ok,male,12
positive,Well service is ok,female,19
neutral,Well service is ok,female,20
neutral,Well service is ok,male,18
positive,Well service is ok,male,9
negative,Cancelled Flight,female,6
neutral,Well service is ok,male,23
negative,Can't Tell,male,11
negative,Damaged Luggage,male,9
negative,Flight Attendant Complaints,female,29
negative,Bad Flight,male,5
negative,Customer Service Issue,female,21
positive,Well service is ok,male,7
neutral,Well service is ok,female,27
positive,Well service is ok,female,22
positive,Well service is ok,female,5
positive,Well service is ok,male,2
neutral,Well service is ok,female,24
negative,Late Flight,female,28
neutral,Well service is ok,male,18
positive,Well service is ok,female,4
neutral,Well service is ok,male,23
neutral,Well service is ok,female,17
neutral,Well service is ok,female,17
positive,Well service is ok,male,15
positive,Well service is ok,female,8
positive,Well service is ok,male,2
positive,Well service is ok,female,16
positive,Well service is ok,female,22
neutral,Well service is ok,male,25
negative,Customer Service Issue,male,17
positive,Well service is ok,female,2
neutral,Well service is ok,male,16
neutral,Well service is ok,male,12
neutral,Well service is ok,female,7
neutral,Well service is ok,female,30
positive,Well service is ok,female,23
positive,Well service is ok,female,20
positive,Well service is ok,male,3
neutral,Well service is ok,male,10
negative,Customer Service Issue,male,18
positive,Well service is ok,male,19
negative,Cancelled Flight,female,15
neutral,Well service is ok,female,13
neutral,Well service is ok,female,2
negative,Customer Service Issue,male,4
negative,Customer Service Issue,male,27
negative,Customer Service Issue,male,28
negative,Flight Booking Problems,female,10
positive,Well service is ok,female,5
neutral,Well service is ok,male,21
positive,Well service is ok,male,6
positive,Well service is ok,male,10
neutral,Well service is ok,male,23
positive,Well service is ok,male,1
negative,Bad Flight,male,8
negative,Late Flight,male,25
negative,Customer Service Issue,female,15
neutral,Well service is ok,male,21
positive,Well service is ok,female,7
neutral,Well service is ok,female,28
neutral,Well service is ok,male,2
neutral,Well service is ok,male,21
positive,Well service is ok,male,27
neutral,Well service is ok,female,25
positive,Well service is ok,female,2
positive,Well service is ok,male,17
negative,Cancelled Flight,male,14
negative,Late Flight,male,23
positive,Well service is ok,female,12
negative,Can't Tell,female,9
neutral,Well service is ok,female,8
negative,Can't Tell,female,9
neutral,Well service is ok,female,5
negative,Bad Flight,male,6
neutral,Well service is ok,male,11
positive,Well service is ok,female,5
positive,Well service is ok,female,24
neutral,Well service is ok,male,7
negative,Flight Booking Problems,male,5
negative,Customer Service Issue,male,22
negative,Customer Service Issue,female,29
positive,Well service is ok,female,13
neutral,Well service is ok,female,8
negative,Lost Luggage,male,25
neutral,Well service is ok,female,22
neutral,Well service is ok,male,5
negative,Can't Tell,male,12
positive,Well service is ok,female,30
neutral,Well service is ok,female,24
negative,Customer Service Issue,male,5
negative,Customer Service Issue,male,11
neutral,Well service is ok,female,22
neutral,Well service is ok,male,21
negative,Can't Tell,female,21
negative,Can't Tell,male,14
neutral,Well service is ok,male,12
negative,Customer Service Issue,male,11
negative,Customer Service Issue,female,18
neutral,Well service is ok,female,26
negative,Late Flight,female,7
negative,longlines,female,30
negative,Can't Tell,male,22
negative,Customer Service Issue,male,26
negative,Customer Service Issue,male,27
negative,Can't Tell,female,16
negative,Flight Attendant Complaints,female,14
neutral,Well service is ok,male,8
neutral,Well service is ok,male,15
neutral,Well service is ok,male,12
neutral,Well service is ok,female,4
negative,Flight Attendant Complaints,female,13
neutral,Well service is ok,male,28
positive,Well service is ok,female,12
negative,Customer Service Issue,male,22
negative,Cancelled Flight,female,15
negative,Lost Luggage,female,21
neutral,Well service is ok,male,13
negative,Late Flight,female,20
positive,Well service is ok,male,15
negative,Flight Booking Problems,male,15
negative,Late Flight,male,11
negative,Can't Tell,female,12
positive,Well service is ok,male,22
negative,Can't Tell,male,19
negative,Flight Booking Problems,female,9
negative,Damaged Luggage,female,15
negative,Lost Luggage,male,20
negative,Lost Luggage,male,6
negative,Customer Service Issue,female,20
negative,Customer Service Issue,male,26
negative,Customer Service Issue,male,26
neutral,Well service is ok,female,8
negative,Customer Service Issue,female,7
negative,Cancelled Flight,female,11
negative,Can't Tell,male,11
negative,Late Flight,male,27
neutral,Well service is ok,female,4
neutral,Well service is ok,female,29
positive,Well service is ok,male,1
negative,Flight Booking Problems,male,20
negative,Flight Attendant Complaints,male,6
negative,Customer Service Issue,male,19
negative,Can't Tell,female,26
negative,Flight Booking Problems,female,7
negative,Customer Service Issue,female,14
negative,Damaged Luggage,female,24
negative,Customer Service Issue,female,17
negative,Can't Tell,female,11
negative,Flight Booking Problems,female,21
positive,Well service is ok,male,21
neutral,Well service is ok,female,18
negative,Customer Service Issue,male,26
negative,Flight Attendant Complaints,female,29
negative,Flight Booking Problems,male,3
negative,Can't Tell,female,12
negative,Customer Service Issue,female,23
negative,Lost Luggage,female,28
negative,Customer Service Issue,female,1
positive,Well service is ok,female,7
neutral,Well service is ok,female,27
positive,Well service is ok,female,4
neutral,Well service is ok,female,10
neutral,Well service is ok,male,4
negative,Flight Attendant Complaints,male,24
negative,Flight Attendant Complaints,male,4
negative,Late Flight,male,1
negative,Bad Flight,male,18
positive,Well service is ok,male,2
negative,Late Flight,female,14
negative,Late Flight,female,3
negative,Customer Service Issue,male,18
positive,Well service is ok,male,6
neutral,Well service is ok,male,5
neutral,Well service is ok,male,11
negative,longlines,female,29
neutral,Well service is ok,male,11
negative,Customer Service Issue,male,28
neutral,Well service is ok,female,11
negative,Customer Service Issue,female,19
negative,Late Flight,female,16
negative,Customer Service Issue,female,25
negative,Customer Service Issue,female,10
negative,Customer Service Issue,female,4
negative,Flight Booking Problems,female,29
negative,Customer Service Issue,female,8
neutral,Well service is ok,female,30
negative,Lost Luggage,female,2
negative,Bad Flight,male,23
neutral,Well service is ok,male,22
neutral,Well service is ok,male,23
negative,Late Flight,male,26
neutral,Well service is ok,male,7
negative,Bad Flight,male,16
negative,Customer Service Issue,male,20
negative,Customer Service Issue,male,27
negative,Can't Tell,male,16
negative,Customer Service Issue,male,12
negative,Flight Attendant Complaints,male,12
negative,Can't Tell,female,21
negative,Customer Service Issue,male,27
negative,Customer Service Issue,female,17
neutral,Well service is ok,male,5
negative,Customer Service Issue,male,30
negative,Lost Luggage,female,7
negative,Can't Tell,male,8
neutral,Well service is ok,male,22
negative,Late Flight,female,1
neutral,Well service is ok,female,9
negative,Can't Tell,female,3
negative,Can't Tell,female,6
negative,Flight Attendant Complaints,male,11
negative,Customer Service Issue,female,28
neutral,Well service is ok,female,6
negative,Customer Service Issue,male,18
negative,Bad Flight,male,12
negative,Lost Luggage,female,18
negative,Customer Service Issue,female,23
neutral,Well service is ok,female,21
neutral,Well service is ok,female,8
negative,Customer Service Issue,female,9
negative,Late Flight,female,23
negative,Customer Service Issue,female,8
neutral,Well service is ok,male,6
positive,Well service is ok,male,3
negative,Flight Booking Problems,male,2
negative,Late Flight,male,5
neutral,Well service is ok,male,22
negative,Late Flight,female,16
negative,Late Flight,female,8
neutral,Well service is ok,male,17
positive,Well service is ok,male,19
negative,Cancelled Flight,male,19
negative,Can't Tell,female,10
negative,Flight Attendant Complaints,male,9
negative,Bad Flight,male,11
negative,Cancelled Flight,female,14
negative,Can't Tell,male,27
negative,Bad Flight,male,25
negative,Can't Tell,male,21
neutral,Well service is ok,female,21
positive,Well service is ok,female,26
neutral,Well service is ok,male,18
negative,Customer Service Issue,male,22
negative,Cancelled Flight,male,27
negative,Customer Service Issue,female,8
negative,Bad Flight,female,4
negative,Can't Tell,male,23
positive,Well service is ok,female,14
negative,Customer Service Issue,male,15
negative,Lost Luggage,female,30
positive,Well service is ok,male,27
negative,Damaged Luggage,male,8
neutral,Well service is ok,male,5
negative,Can't Tell,male,15
negative,Late Flight,female,28
positive,Well service is ok,male,12
negative,Customer Service Issue,female,17
negative,Customer Service Issue,female,26
negative,Lost Luggage,male,11
positive,Well service is ok,male,9
negative,Customer Service Issue,male,5
negative,Lost Luggage,female,26
neutral,Well service is ok,male,19
negative,Customer Service Issue,male,8
negative,Lost Luggage,male,10
neutral,Well service is ok,male,8
neutral,Well service is ok,female,8
negative,Customer Service Issue,female,19
negative,Lost Luggage,male,25
positive,Well service is ok,male,17
negative,Customer Service Issue,female,21
negative,Customer Service Issue,male,16
negative,Late Flight,male,7
negative,Customer Service Issue,male,13
negative,Lost Luggage,female,16
negative,Lost Luggage,female,11
positive,Well service is ok,male,27
negative,Can't Tell,male,18
negative,Can't Tell,male,3
neutral,Well service is ok,male,24
negative,Cancelled Flight,male,3
positive,Well service is ok,female,8
positive,Well service is ok,male,25
positive,Well service is ok,female,21
negative,Flight Attendant Complaints,male,11
neutral,Well service is ok,male,22
negative,Lost Luggage,female,24
negative,Lost Luggage,male,4
negative,Customer Service Issue,male,5
negative,Late Flight,male,25
negative,Customer Service Issue,female,23
negative,Bad Flight,male,25
neutral,Well service is ok,female,6
negative,Lost Luggage,female,23
negative,Cancelled Flight,female,22
positive,Well service is ok,female,5
negative,Customer Service Issue,male,26
negative,Customer Service Issue,male,1
negative,Late Flight,male,20
neutral,Well service is ok,male,17
negative,Lost Luggage,male,20
negative,Customer Service Issue,female,3
neutral,Well service is ok,female,2
neutral,Well service is ok,female,4
negative,Lost Luggage,female,27
positive,Well service is ok,male,25
negative,Lost Luggage,male,27
negative,Customer Service Issue,female,8
neutral,Well service is ok,male,13
negative,Can't Tell,female,5
negative,Can't Tell,male,28
negative,Flight Attendant Complaints,female,15
negative,Customer Service Issue,female,27
neutral,Well service is ok,male,27
negative,Customer Service Issue,female,17
negative,Late Flight,male,17
negative,Can't Tell,male,21
negative,Customer Service Issue,female,14
positive,Well service is ok,female,22
negative,Flight Booking Problems,female,10
neutral,Well service is ok,male,13
negative,Customer Service Issue,male,26
negative,Late Flight,male,13
negative,Late Flight,male,15
negative,Lost Luggage,male,28
negative,Cancelled Flight,male,1
neutral,Well service is ok,male,27
negative,Customer Service Issue,female,25
neutral,Well service is ok,female,26
negative,Late Flight,male,20
neutral,Well service is ok,male,12
negative,Late Flight,female,4
negative,Late Flight,female,29
positive,Well service is ok,female,15
negative,Damaged Luggage,male,3
positive,Well service is ok,male,3
negative,Cancelled Flight,male,23
negative,Lost Luggage,male,27
negative,Can't Tell,male,15
negative,Flight Attendant Complaints,male,13
neutral,Well service is ok,female,29
positive,Well service is ok,male,15
positive,Well service is ok,female,23
negative,Can't Tell,female,24
neutral,Well service is ok,male,7
negative,Lost Luggage,female,5
negative,Customer Service Issue,female,14
neutral,Well service is ok,male,14
neutral,Well service is ok,female,3
negative,Flight Attendant Complaints,female,17
negative,Customer Service Issue,male,28
negative,Late Flight,female,28
negative,Customer Service Issue,male,28
negative,Cancelled Flight,male,12
neutral,Well service is ok,male,30
negative,Customer Service Issue,male,19
negative,Late Flight,female,23
negative,Customer Service Issue,female,26
negative,Flight Attendant Complaints,male,22
positive,Well service is ok,male,24
negative,Cancelled Flight,male,23
negative,Cancelled Flight,female,29
negative,Lost Luggage,male,21
negative,Customer Service Issue,female,28
negative,Can't Tell,female,26
neutral,Well service is ok,male,20
positive,Well service is ok,male,7
negative,Customer Service Issue,male,25
neutral,Well service is ok,male,17
neutral,Well service is ok,male,21
negative,Can't Tell,male,15
negative,Lost Luggage,male,23
neutral,Well service is ok,male,7
neutral,Well service is ok,male,7
negative,Customer Service Issue,male,9
negative,Lost Luggage,male,25
negative,Lost Luggage,female,3
negative,Lost Luggage,female,15
neutral,Well service is ok,female,29
negative,Late Flight,male,15
negative,Flight Attendant Complaints,male,16
negative,Lost Luggage,male,29
neutral,Well service is ok,female,7
negative,Late Flight,female,20
negative,Can't Tell,female,30
negative,Lost Luggage,male,4
negative,Bad Flight,male,22
negative,Flight Attendant Complaints,female,27
negative,Can't Tell,male,23
negative,Late Flight,male,29
negative,Can't Tell,female,26
negative,Late Flight,male,9
negative,Can't Tell,female,10
positive,Well service is ok,male,14
positive,Well service is ok,female,25
positive,Well service is ok,female,17
negative,Damaged Luggage,female,25
negative,Bad Flight,male,11
negative,Customer Service Issue,male,18
negative,Late Flight,male,18
negative,Cancelled Flight,female,12
negative,Customer Service Issue,male,17
negative,Customer Service Issue,male,25
positive,Well service is ok,male,20
negative,Customer Service Issue,male,18
negative,Customer Service Issue,male,4
positive,Well service is ok,male,22
negative,Flight Booking Problems,female,28
negative,Late Flight,female,5
negative,Late Flight,male,28
negative,Flight Attendant Complaints,female,7
negative,Bad Flight,female,29
negative,Late Flight,male,27
neutral,Well service is ok,male,16
positive,Well service is ok,male,15
negative,Customer Service Issue,male,28
neutral,Well service is ok,female,26
negative,Lost Luggage,male,10
negative,Can't Tell,male,3
negative,Lost Luggage,male,13
negative,Customer Service Issue,male,14
negative,Bad Flight,male,5
negative,Can't Tell,female,13
negative,Customer Service Issue,female,14
neutral,Well service is ok,female,21
negative,Flight Booking Problems,female,11
negative,Bad Flight,female,17
positive,Well service is ok,female,16
neutral,Well service is ok,female,27
neutral,Well service is ok,female,10
negative,Flight Booking Problems,female,7
neutral,Well service is ok,female,10
negative,Cancelled Flight,male,8
negative,Can't Tell,male,25
negative,Lost Luggage,male,2
negative,Can't Tell,female,10
positive,Well service is ok,male,7
positive,Well service is ok,female,29
negative,Lost Luggage,male,20
neutral,Well service is ok,female,23
neutral,Well service is ok,male,9
neutral,Well service is ok,male,21
positive,Well service is ok,female,6
negative,Lost Luggage,male,20
negative,Lost Luggage,male,15
positive,Well service is ok,male,17
positive,Well service is ok,female,6
negative,Lost Luggage,male,12
neutral,Well service is ok,female,7
positive,Well service is ok,female,2
negative,Customer Service Issue,female,26
positive,Well service is ok,female,22
negative,Lost Luggage,female,21
positive,Well service is ok,female,17
negative,Lost Luggage,female,14
negative,Lost Luggage,female,3
neutral,Well service is ok,male,21
neutral,Well service is ok,male,28
negative,Customer Service Issue,male,16
negative,Flight Attendant Complaints,female,11
negative,Cancelled Flight,male,30
negative,Customer Service Issue,female,14
negative,Bad Flight,female,22
negative,Cancelled Flight,female,12
neutral,Well service is ok,male,11
negative,Late Flight,male,21
neutral,Well service is ok,female,8
negative,Customer Service Issue,male,10
positive,Well service is ok,female,7
negative,Customer Service Issue,male,16
negative,Bad Flight,female,1
negative,Lost Luggage,male,30
negative,Customer Service Issue,male,26
neutral,Well service is ok,male,28
negative,Customer Service Issue,male,23
positive,Well service is ok,male,27
positive,Well service is ok,female,18
negative,Customer Service Issue,female,14
negative,Flight Attendant Complaints,male,29
negative,Bad Flight,female,19
negative,Customer Service Issue,female,28
neutral,Well service is ok,male,12
negative,Flight Booking Problems,male,16
negative,Lost Luggage,female,23
negative,Lost Luggage,male,24
neutral,Well service is ok,male,16
neutral,Well service is ok,female,14
negative,Can't Tell,female,20
neutral,Well service is ok,female,13
negative,Lost Luggage,male,10
negative,Bad Flight,female,15
neutral,Well service is ok,male,20
negative,Customer Service Issue,male,15
positive,Well service is ok,male,26
negative,Flight Booking Problems,male,11
